episode,total_reward,steps,win
1,-1,1,0
2,-1,1,0
3,-1,1,0
4,-1,1,0
5,1,2,1
6,1,1,1
7,0,2,0
8,-1,1,0
9,1,2,1
10,-1,3,0
11,-1,1,0
12,-1,1,0
13,-1,1,0
14,1,2,1
15,-1,2,0
16,-1,2,0
17,-1,3,0
18,1,1,1
19,-1,1,0
20,-1,1,0
21,-1,1,0
22,-1,1,0
23,-1,1,0
24,-1,1,0
25,-1,2,0
26,-1,2,0
27,-1,1,0
28,-1,1,0
29,1,3,1
30,-1,1,0
31,-1,2,0
32,0,2,0
33,0,1,0
34,-1,1,0
35,-1,1,0
36,-1,2,0
37,1,2,1
38,-1,1,0
39,-1,1,0
40,1,1,1
41,1,1,1
42,-1,1,0
43,-1,1,0
44,1,1,1
45,-1,1,0
46,0,1,0
47,1,1,1
48,-1,1,0
49,-1,1,0
50,-1,1,0
51,-1,2,0
52,1,3,1
53,-1,1,0
54,-1,2,0
55,1,1,1
56,1,3,1
57,1,1,1
58,-1,1,0
59,-1,1,0
60,-1,1,0
61,-1,1,0
62,-1,2,0
63,-1,2,0
64,-1,1,0
65,1,1,1
66,-1,1,0
67,1,1,1
68,1,2,1
69,-1,2,0
70,-1,1,0
71,-1,2,0
72,-1,1,0
73,-1,1,0
74,-1,2,0
75,1,2,1
76,-1,1,0
77,-1,1,0
78,-1,1,0
79,-1,2,0
80,1,3,1
81,-1,1,0
82,1,2,1
83,-1,1,0
84,-1,1,0
85,-1,1,0
86,1,2,1
87,1,1,1
88,-1,1,0
89,-1,1,0
90,-1,1,0
91,-1,1,0
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,3,1
97,-1,4,0
98,0,2,0
99,-1,1,0
100,-1,1,0
101,1,1,1
102,1,1,1
103,-1,2,0
104,-1,1,0
105,-1,1,0
106,-1,2,0
107,-1,1,0
108,1,1,1
109,-1,1,0
110,1,1,1
111,-1,1,0
112,1,1,1
113,-1,2,0
114,-1,2,0
115,-1,1,0
116,1,1,1
117,0,2,0
118,-1,1,0
119,-1,1,0
120,1,1,1
121,1,2,1
122,0,2,0
123,-1,1,0
124,0,1,0
125,-1,1,0
126,1,1,1
127,-1,1,0
128,-1,1,0
129,-1,1,0
130,-1,1,0
131,-1,1,0
132,1,2,1
133,1,1,1
134,-1,1,0
135,-1,2,0
136,-1,1,0
137,-1,1,0
138,-1,1,0
139,1,1,1
140,0,2,0
141,-1,1,0
142,-1,1,0
143,-1,1,0
144,-1,3,0
145,0,2,0
146,1,1,1
147,-1,2,0
148,1,1,1
149,0,1,0
150,-1,1,0
151,0,1,0
152,-1,1,0
153,-1,1,0
154,-1,3,0
155,1,1,1
156,1,1,1
157,1,3,1
158,1,2,1
159,1,1,1
160,-1,2,0
161,-1,1,0
162,-1,1,0
163,-1,1,0
164,1,2,1
165,-1,1,0
166,1,1,1
167,-1,1,0
168,-1,1,0
169,1,1,1
170,1,1,1
171,-1,2,0
172,1,1,1
173,-1,1,0
174,1,1,1
175,-1,1,0
176,-1,1,0
177,-1,1,0
178,1,1,1
179,1,4,1
180,1,1,1
181,-1,1,0
182,-1,2,0
183,-1,1,0
184,-1,1,0
185,1,1,1
186,-1,2,0
187,-1,3,0
188,-1,1,0
189,-1,2,0
190,-1,1,0
191,-1,1,0
192,-1,2,0
193,-1,1,0
194,1,1,1
195,-1,3,0
196,-1,1,0
197,-1,1,0
198,1,1,1
199,0,2,0
200,-1,3,0
201,0,2,0
202,1,1,1
203,-1,1,0
204,1,1,1
205,-1,1,0
206,1,1,1
207,0,1,0
208,1,2,1
209,1,1,1
210,-1,1,0
211,-1,1,0
212,-1,1,0
213,-1,2,0
214,1,1,1
215,1,2,1
216,1,2,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,1,1
221,-1,1,0
222,1,1,1
223,1,1,1
224,0,3,0
225,1,1,1
226,-1,1,0
227,1,1,1
228,1,1,1
229,1,1,1
230,1,1,1
231,-1,1,0
232,-1,1,0
233,0,1,0
234,-1,1,0
235,1,2,1
236,-1,1,0
237,-1,2,0
238,1,2,1
239,-1,1,0
240,1,1,1
241,-1,1,0
242,-1,1,0
243,-1,1,0
244,1,2,1
245,-1,1,0
246,-1,2,0
247,-1,1,0
248,-1,1,0
249,-1,1,0
250,1,2,1
251,-1,1,0
252,1,1,1
253,-1,1,0
254,-1,3,0
255,-1,1,0
256,-1,1,0
257,1,2,1
258,-1,1,0
259,-1,2,0
260,-1,1,0
261,1,2,1
262,-1,1,0
263,1,2,1
264,-1,2,0
265,-1,2,0
266,-1,2,0
267,-1,1,0
268,-1,2,0
269,1,2,1
270,-1,2,0
271,1,1,1
272,1,1,1
273,1,1,1
274,0,2,0
275,-1,1,0
276,-1,1,0
277,-1,2,0
278,-1,1,0
279,1,1,1
280,-1,3,0
281,-1,1,0
282,-1,1,0
283,-1,1,0
284,-1,1,0
285,-1,1,0
286,-1,1,0
287,-1,1,0
288,-1,1,0
289,-1,1,0
290,-1,1,0
291,1,2,1
292,-1,2,0
293,-1,2,0
294,-1,1,0
295,0,3,0
296,-1,2,0
297,-1,1,0
298,-1,1,0
299,-1,1,0
300,1,4,1
301,-1,3,0
302,-1,1,0
303,-1,1,0
304,-1,1,0
305,1,1,1
306,1,2,1
307,-1,2,0
308,1,2,1
309,-1,1,0
310,1,1,1
311,1,1,1
312,1,1,1
313,-1,1,0
314,-1,1,0
315,-1,1,0
316,1,1,1
317,-1,1,0
318,-1,3,0
319,-1,2,0
320,-1,1,0
321,1,2,1
322,1,1,1
323,1,1,1
324,0,1,0
325,-1,1,0
326,-1,1,0
327,1,2,1
328,1,1,1
329,-1,1,0
330,1,1,1
331,-1,2,0
332,-1,1,0
333,-1,1,0
334,-1,1,0
335,-1,1,0
336,-1,1,0
337,-1,1,0
338,-1,1,0
339,-1,1,0
340,-1,1,0
341,-1,1,0
342,-1,1,0
343,-1,1,0
344,1,1,1
345,1,2,1
346,-1,1,0
347,1,1,1
348,1,2,1
349,-1,1,0
350,1,1,1
351,1,1,1
352,1,1,1
353,-1,1,0
354,1,1,1
355,0,1,0
356,-1,1,0
357,1,1,1
358,-1,1,0
359,-1,1,0
360,1,1,1
361,-1,1,0
362,-1,1,0
363,1,1,1
364,1,1,1
365,-1,1,0
366,1,1,1
367,-1,1,0
368,1,2,1
369,-1,1,0
370,1,1,1
371,-1,1,0
372,-1,3,0
373,-1,1,0
374,-1,1,0
375,-1,1,0
376,-1,2,0
377,-1,1,0
378,-1,1,0
379,1,3,1
380,1,1,1
381,-1,1,0
382,-1,1,0
383,-1,1,0
384,-1,2,0
385,1,1,1
386,1,1,1
387,1,1,1
388,-1,1,0
389,0,1,0
390,-1,1,0
391,-1,1,0
392,1,1,1
393,1,1,1
394,-1,1,0
395,-1,1,0
396,-1,1,0
397,1,1,1
398,1,2,1
399,0,1,0
400,-1,1,0
401,-1,1,0
402,1,1,1
403,0,1,0
404,1,1,1
405,-1,2,0
406,-1,1,0
407,-1,1,0
408,-1,1,0
409,1,2,1
410,0,1,0
411,-1,1,0
412,-1,1,0
413,-1,2,0
414,-1,1,0
415,1,1,1
416,1,1,1
417,-1,1,0
418,1,1,1
419,-1,1,0
420,-1,3,0
421,1,1,1
422,-1,1,0
423,-1,1,0
424,1,1,1
425,1,4,1
426,1,2,1
427,-1,1,0
428,-1,1,0
429,-1,3,0
430,-1,1,0
431,1,1,1
432,-1,1,0
433,-1,1,0
434,-1,1,0
435,-1,1,0
436,-1,1,0
437,0,2,0
438,1,1,1
439,1,1,1
440,-1,1,0
441,0,2,0
442,1,1,1
443,-1,1,0
444,-1,1,0
445,1,2,1
446,1,1,1
447,-1,1,0
448,-1,3,0
449,-1,1,0
450,1,1,1
451,1,1,1
452,0,1,0
453,-1,1,0
454,-1,1,0
455,-1,1,0
456,-1,2,0
457,-1,2,0
458,-1,1,0
459,-1,1,0
460,1,1,1
461,-1,1,0
462,1,1,1
463,-1,1,0
464,0,2,0
465,1,1,1
466,-1,2,0
467,1,2,1
468,-1,1,0
469,-1,1,0
470,-1,1,0
471,1,1,1
472,1,2,1
473,-1,2,0
474,-1,1,0
475,-1,1,0
476,1,1,1
477,-1,1,0
478,-1,1,0
479,1,1,1
480,-1,2,0
481,-1,1,0
482,-1,2,0
483,-1,1,0
484,1,1,1
485,-1,1,0
486,-1,1,0
487,1,1,1
488,-1,1,0
489,-1,1,0
490,-1,1,0
491,1,1,1
492,1,2,1
493,1,2,1
494,1,2,1
495,-1,1,0
496,-1,1,0
497,-1,2,0
498,1,1,1
499,-1,1,0
500,1,1,1
